review_id,review_text,rating,date,bank_name,source
bank_of_abyssinia_0,Good,5,2018-03-11,Bank of Abyssinia,Google Play
bank_of_abyssinia_1,,1,2014-02-25,Bank of Abyssinia,Google Play
bank_of_abyssinia_2,BOA,5,2013-12-27,Bank of Abyssinia,Google Play
bank_of_abyssinia_3,Wtf man!!! I spent almost two hours to play the game to win something!! Its really dissapointing...,1,2013-06-04,Bank of Abyssinia,Google Play
bank_of_abyssinia_4,"Brilliant app, although some parts are still under construction. Loved the game. I got 2 free tickets with the 8 I booked through the game.",5,2013-05-17,Bank of Abyssinia,Google Play
bank_of_abyssinia_5,"I got 50% off on the ticket,by playing the game! Truly Amazing :D",5,2013-05-15,Bank of Abyssinia,Google Play
bank_of_abyssinia_6,Awesome..\m/,5,2013-05-15,Bank of Abyssinia,Google Play
bank_of_abyssinia_7,Waiting for this event.... But the game is lovely... It is better than temple run .... Release the game as separate app.,5,2013-05-14,Bank of Abyssinia,Google Play
bank_of_abyssinia_8,Wohoo,5,2013-05-14,Bank of Abyssinia,Google Play
